Item,Unidad de negocio,Descripción Item,Fecha,UM,Tipo de Ítem,Grupo Inventario,Entradas Últ. 12 Meses,Salidas Últ. 12 Meses,Entradas Últ. 24 Meses,Salidas Últ. 24 Meses,"Entradas entre
12 y 24 Meses","Salidas entre
12 y 24 Meses",Entrada 12 meses y saldo,% entrada 12 meses / Saldo,Saldo,Valor STD (COP$),Valor Real (COP$),Cant. Backlog,Valor Backlog (R$),"Backlog ajustado cant.
(de acuerdo a inventario existente","Backlog ajustado valor
(de acuerdo a inventario existente",Cantidad en contratos,Inventario cubierto por contratos COP$,Total inventario no comprometido después de backlog,Total inventario no comprometido después de backlog y contratos,Agotamiento,Cant. Comprometida,Nuevo agotamiento,%,Categoría Provisión de Inventario,Valor Provisión
015086,PR,Producto 015086,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,7841.0,10540.0,18294.08,10540.0,10453.080000000002,,0.0,2312,26635566.0014,26635566.0014,0,0.0,0.0,0.0,,0,26635566.0014,26635566.0014,0.0,2312.0,0.0,3.3914359861591694,Regular,0.0
015091,PR,Producto 015091,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,1162.0,10774.0,17517.7,10774.0,16355.7,,0.0,11356,131340429.7664,131340429.7664,0,0.0,0.0,0.0,,0,131340429.7664,131340429.7664,111.6,549.146,105.2736660929432,0.10232476224022546,B,39402128.929919995
015100-PLPBR,PR,Producto 015100-PLPBR,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,11262.0,0.0,12376.0,0.0,1114.0,5831.0,0.0,5831,99515796.1526,99515796.1526,0,0.0,0.0,0.0,,0,99515796.1526,99515796.1526,5.2,917.472,0.0,1.931401131881324,Regular,0.0
015128,PR,Producto 015128,2026-04-30,KG,Materia Prima,MATERIA PRIMA,8059.0,9911.0,8059.0,15482.6,0.0,5571.6,-6660.0,5.760543245175125,1399,16088500.0,16088500.0,0,0.0,0.0,0.0,,0,16088500.0,16088500.0,0.0,1399.0,0.0,7.0843459614010005,Regular,0.0
015144,PR,Producto 015144,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,677.0,2545.0,3259.0,2545.0,2582.0,,0.0,1868,21482000.0,21482000.0,0,0.0,0.0,0.0,,0,21482000.0,21482000.0,33.1,0.0,21.110782865583456,0.3624197002141327,B,6444600.0
015162,PR,Producto 015162,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,1840,17082534.4608,17082534.4608,0,0.0,0.0,0.0,,0,17082534.4608,17082534.4608,999.9,1840.0,999.9,0.0,D,17082534.4608
015162-COL-A-M,PR,Producto 015162-COL-A-M,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,73,407924.0,407924.0,0,0.0,0.0,0.0,,0,407924.0,407924.0,999.9,0.0,999.9,0.0,Muestra,0.0
1-CJDE08-048054,TL,Producto 1-CJDE08-048054,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,96.0,96.0,11547.0,11547.0,11451.0,11451.0,,9.99,0,0.0,0.0,11355,73115262.864,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
24302228,TR,Producto 24302228,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,47.0,47.0,47.0,47.0,0.0,0.0,-47.0,9.99,0,0.0,0.0,47,54741390.8102,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
24302383,TR,Producto 24302383,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,102.0,102.0,102.0,102.0,0.0,0.0,-102.0,9.99,0,0.0,0.0,102,113144130.6303,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
25302228,TR,Producto 25302228,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,246.0,246.0,246.0,246.0,0.0,0.0,-246.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
25302383,TR,Producto 25302383,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,496.0,496.0,496.0,496.0,0.0,0.0,-496.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
28302228,TR,Producto 28302228,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,26.0,26.0,26.0,26.0,0.0,0.0,-26.0,9.99,0,0.0,0.0,26,10076375.3301,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
28302383,TR,Producto 28302383,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,51.0,51.0,51.0,51.0,0.0,0.0,-51.0,9.99,0,0.0,0.0,51,19474533.09,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
4300131I,TR,Producto 4300131I,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,7.0,7.0,7.0,7.0,0.0,0.0,-7.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
43009137RI,TR,Producto 43009137RI,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,17.0,17.0,17.0,17.0,0.0,0.0,-17.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
50502274,TL,Producto 50502274,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,451.0,1007.0,4451.0,1536.0,4000.0,529.0,,0.14914021164021163,3024,33753850.9862,33753850.9862,3000,33485963.28,3000.0,33485963.279960316,,0,267887.7062396817,267887.7062396817,0.3,3000.0,0.0,1.3250661375661377,Regular,0.0
506014245-M,TL,Producto 506014245-M,2026-04-30,PZ,Materia Prima,COMPONENTES,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12,330989.14,330989.14,0,0.0,0.0,0.0,,0,330989.14,330989.14,999.9,0.0,999.9,0.0,Muestra,0.0
50603745,TL,Producto 50603745,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,533.0,0.0,533.0,403.0,0.0,403,12228062.9277,12228062.9277,0,0.0,0.0,0.0,,0,12228062.9277,12228062.9277,999.9,0.0,999.9,0.0,C,6114031.46385
50603760,TL,Producto 50603760,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,355.0,1140.0,1139.0,1140.0,784.0,,0.0,1,36051.9556,36051.9556,0,0.0,0.0,0.0,,0,36051.9556,36051.9556,0.0,0.0,0.0,355.0,Regular,0.0
509CTP100,TR,Producto 509CTP100,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,344.0,0.0,344.0,2.0,0.0,2.0,0.0,1.0,344,203916.0414,203916.0414,0,0.0,0.0,0.0,,0,203916.0414,203916.0414,0.0,0.0,999.9,0.0,Regular,0.0
509CTP101,TR,Producto 509CTP101,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14,8849.45,8849.45,0,0.0,0.0,0.0,,0,8849.45,8849.45,999.9,0.0,999.9,0.0,D,8849.45
515SRR1503-1,TL,Producto 515SRR1503-1,2026-04-30,UN,Materia Prima,COMPONENTES,2589.0,2589.0,2589.0,2589.0,0.0,0.0,-2589.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
515SRR1505,TL,Producto 515SRR1505,2026-04-30,PZ,Materia Prima,COMPONENTES,219.0,219.0,219.0,219.0,0.0,0.0,-219.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
515SRR1527-C,TL,Producto 515SRR1527-C,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,1211.0,1211.0,1211.0,1211.0,0.0,0.0,-1211.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
521PN10,TL,Producto 521PN10,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,292,281302.326,281302.326,0,0.0,0.0,0.0,,0,281302.326,281302.326,999.9,0.0,999.9,0.0,D,281302.326
521PN11,TL,Producto 521PN11,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,340,363937.5504,363937.5504,0,0.0,0.0,0.0,,0,363937.5504,363937.5504,999.9,0.0,999.9,0.0,D,363937.5504
522COX108,PR,Producto 522COX108,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,1372.0,5081.0,4601.0,5081.0,3229.0,,0.0,2396,891797.4056,891797.4056,0,0.0,0.0,0.0,,0,891797.4056,891797.4056,21.0,0.0,8.956268221574344,0.5726210350584306,A,133769.61084
522COX110,PR,Producto 522COX110,2026-04-30,UN,Materia Prima,COMPONENTES,0.0,0.0,1000.0,0.0,1000.0,0.0,,0.0,1000,428882.28,428882.28,0,0.0,0.0,0.0,,0,428882.28,428882.28,999.9,0.0,999.9,0.0,D,428882.28
522COX111,PR,Producto 522COX111,2026-04-30,UN,Materia Prima,COMPONENTES,0.0,0.0,3000.0,1436.0,3000.0,1436.0,,0.0,1564,819832.2998,819832.2998,0,0.0,0.0,0.0,,0,819832.2998,819832.2998,999.9,0.0,999.9,0.0,C,409916.1499
522COX112,PR,Producto 522COX112,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,144.0,2000.0,1284.0,2000.0,1140.0,,0.0,1656,946972.0577,946972.0577,0,0.0,0.0,0.0,,0,946972.0577,946972.0577,138.0,0.0,126.0,0.08695652173913049,B,284091.61731
523ARL42,TL,Producto 523ARL42,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,2500,267881.875,267881.875,0,0.0,0.0,0.0,,0,267881.875,267881.875,999.9,0.0,999.9,0.0,D,267881.875
527PN05,TL,Producto 527PN05,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,11150.0,13963.0,11150.0,13963.0,,0.0,862,725686.3198,725686.3198,0,0.0,0.0,0.0,,0,725686.3198,725686.3198,999.9,3.0,999.9,0.0,C,362843.1599
527PN06,TL,Producto 527PN06,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,13150.0,13963.0,13150.0,13963.0,,0.0,341,323048.8188,323048.8188,0,0.0,0.0,0.0,,0,323048.8188,323048.8188,999.9,3.0,999.9,0.0,C,161524.4094
527PN07,TL,Producto 527PN07,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,21600.0,40570.0,88600.0,89084.0,67000.0,48514.0,,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
527PN08,TL,Producto 527PN08,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,21600.0,40543.0,88600.0,89056.0,67000.0,48513.0,,366.10169491525426,59,43056.2919,43056.2919,0,0.0,0.0,0.0,,0,43056.2919,43056.2919,0.0,0.0,0.0,687.1694915254237,Regular,0.0
527PN09,TL,Producto 527PN09,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,2500,3072080.725,3072080.725,0,0.0,0.0,0.0,,0,3072080.725,3072080.725,999.9,0.0,999.9,0.0,D,3072080.725
527TPA12,TL,Producto 527TPA12,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,2.0,0.0,2.0,2500.0,0.0,2500,1469124.975,1469124.975,0,0.0,0.0,0.0,,0,1469124.975,1469124.975,999.9,0.0,999.9,0.0,C,734562.4875
527TUB13,TL,Producto 527TUB13,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,29968.0,29952.0,79840.0,79824.0,49872.0,49872.0,,1873.0,16,989.34,989.34,0,0.0,0.0,0.0,,0,989.34,989.34,0.0,0.0,0.0,1872.0,Regular,0.0
530CNP12,TR,Producto 530CNP12,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,44.0,0.0,44.0,0.0,,0.0,44,172784.9002,172784.9002,0,0.0,0.0,0.0,,0,172784.9002,172784.9002,999.9,0.0,999.9,0.0,D,172784.9002
533PFCS352,TL,Producto 533PFCS352,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,2500,1339409.3,1339409.3,0,0.0,0.0,0.0,,0,1339409.3,1339409.3,999.9,0.0,999.9,0.0,D,1339409.3
535AD50419,PR,Producto 535AD50419,2026-04-30,KG,Acabados,PRODUCTOS TERMINADOS,1120.0,915.6,2400.0,1552.0,1280.0,636.4,,1.320754716981132,848,24011770.3397,24011770.3397,0,0.0,0.0,0.0,,0,24011770.3397,24011770.3397,11.1,0.0,0.0,1.0797169811320755,Regular,0.0
535AD50420,PR,Producto 535AD50420,2026-04-30,KG,Acabados,PRODUCTOS TERMINADOS,2400.0,1346.0,3680.0,2326.0,1280.0,980.0,,1.6877637130801688,1422,42641980.5298,42641980.5298,0,0.0,0.0,0.0,,0,42641980.5298,42641980.5298,12.7,0.0,0.6775631500742942,0.9465541490857946,Regular,0.0
557PO50001,PR,Producto 557PO50001,2026-04-30,KG,Materia Prima,MATERIAL SECUNDARIO,900.0,225.0,1200.0,425.0,300.0,200.0,,1.0285714285714285,875,12725960.7038,12725960.7038,0,0.0,0.0,0.0,,0,12725960.7038,12725960.7038,46.7,0.0,34.666666666666664,0.2571428571428571,Regular,0.0
557PO50002,PR,Producto 557PO50002,2026-04-30,KG,Materia Prima,MATERIAL SECUNDARIO,3500.0,1275.0,3500.0,3325.0,0.0,2050.0,-1125.0,1.4736842105263157,2375,30254621.025,30254621.025,0,0.0,0.0,0.0,,0,30254621.025,30254621.025,22.4,0.0,10.352941176470589,0.5368421052631579,Regular,0.0
557PO50003,PR,Producto 557PO50003,2026-04-30,KG,Materia Prima,MATERIAL SECUNDARIO,1200.0,175.0,1700.0,525.0,500.0,350.0,,0.8421052631578947,1425,17868275.1983,17868275.1983,0,0.0,0.0,0.0,,0,17868275.1983,17868275.1983,97.7,0.0,85.71428571428571,0.1228070175438597,Regular,0.0
5600073G,NB,Producto 5600073G,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,2,3435044.67,3435044.67,0,0.0,0.0,0.0,,0,3435044.67,3435044.67,999.9,0.0,999.9,0.0,D,3435044.67
560CJG65,TL,Producto 560CJG65,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,450.0,450.0,450.0,450.0,0.0,0.0,-450.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
560GAC75,TR,Producto 560GAC75,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,7.0,1.0,7.0,1.0,0.0,0.0,1.0,0.875,8,1481383.46,1481383.46,1,185172.9325,1.0,185172.9325,,0,1296210.5274999999,1296210.5274999999,84.0,1.0,72.0,0.25,Regular,0.0
560SUBPCOR01,TL,Producto 560SUBPCOR01,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,350.0,350.0,350.0,350.0,0.0,0.0,-350.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
569ARLI01,TR,Producto 569ARLI01,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,344.0,0.0,344.0,0.0,0.0,0.0,0.0,1.0,344,6372376.4,6372376.4,0,0.0,0.0,0.0,,0,6372376.4,6372376.4,0.0,0.0,999.9,0.0,Regular,0.0
569PCSI01,TR,Producto 569PCSI01,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,344.0,0.0,344.0,0.0,0.0,0.0,0.0,1.0,344,11470277.52,11470277.52,0,0.0,0.0,0.0,,0,11470277.52,11470277.52,0.0,0.0,999.9,0.0,Regular,0.0
569PFCSI40,TR,Producto 569PFCSI40,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,344.0,0.0,344.0,0.0,0.0,0.0,0.0,1.0,344,20391604.48,20391604.48,0,0.0,0.0,0.0,,0,20391604.48,20391604.48,0.0,0.0,999.9,0.0,Regular,0.0
5805601-M,TL,Producto 5805601-M,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6,1922237.32,1922237.32,0,0.0,0.0,0.0,,0,1922237.32,1922237.32,999.9,0.0,999.9,0.0,Muestra,0.0
5805602-018750-M,TL,Producto 5805602-018750-M,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6,89353.99,89353.99,0,0.0,0.0,0.0,,0,89353.99,89353.99,999.9,0.0,999.9,0.0,Muestra,0.0
5805650A-05-01-M,TL,Producto 5805650A-05-01-M,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,91606.62,91606.62,0,0.0,0.0,0.0,,0,91606.62,91606.62,999.9,0.0,999.9,0.0,Muestra,0.0
5805665-M,TL,Producto 5805665-M,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,62322.55,62322.55,0,0.0,0.0,0.0,,0,62322.55,62322.55,999.9,0.0,999.9,0.0,Muestra,0.0
5805668-40-M,TL,Producto 5805668-40-M,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,316868.8,316868.8,0,0.0,0.0,0.0,,0,316868.8,316868.8,999.9,0.0,999.9,0.0,Muestra,0.0
5810924-M,TL,Producto 5810924-M,2026-04-30,UN,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,70832.45,70832.45,0,0.0,0.0,0.0,,0,70832.45,70832.45,999.9,0.0,999.9,0.0,Muestra,0.0
58800614,TR,Producto 58800614,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,4.0,0.0,4.0,0.0,0.0,0.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
58801190-A,TL,Producto 58801190-A,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,11.0,11.0,11.0,11.0,0.0,0.0,-11.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
8003092,TL,Producto 8003092,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,170,12909359.1203,12909359.1203,0,0.0,0.0,0.0,,0,12909359.1203,12909359.1203,999.9,0.0,999.9,0.0,D,12909359.1203
8003372,TL,Producto 8003372,2026-04-30,PZ,Materia Prima,COMPONENTES,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26,3714820.07,3714820.07,0,0.0,0.0,0.0,,0,3714820.07,3714820.07,999.9,0.0,999.9,0.0,D,3714820.07
8003677-M,TL,Producto 8003677-M,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12,197255.58,197255.58,0,0.0,0.0,0.0,,0,197255.58,197255.58,0.0,0.0,999.9,0.0,Muestra,0.0
8003692,TL,Producto 8003692,2026-04-30,PZ,Materia Prima,COMPONENTES,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40,463713.0,463713.0,0,0.0,0.0,0.0,,0,463713.0,463713.0,999.9,0.0,999.9,0.0,D,463713.0
8003694-M,TL,Producto 8003694-M,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12,161390.93,161390.93,0,0.0,0.0,0.0,,0,161390.93,161390.93,0.0,0.0,999.9,0.0,Muestra,0.0
8003835-M,TL,Producto 8003835-M,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12,942826.5,942826.5,0,0.0,0.0,0.0,,0,942826.5,942826.5,0.0,0.0,999.9,0.0,Muestra,0.0
8003942-M,TL,Producto 8003942-M,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6,739363.58,739363.58,0,0.0,0.0,0.0,,0,739363.58,739363.58,0.0,0.0,999.9,0.0,Muestra,0.0
8004094,TL,Producto 8004094,2026-04-30,PZ,Materia Prima,COMPONENTES,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40,546833.0,546833.0,0,0.0,0.0,0.0,,0,546833.0,546833.0,999.9,0.0,999.9,0.0,D,546833.0
8004160-M,TL,Producto 8004160-M,2026-04-30,un,Acabados,PRODUCTOS TERMINADOS,150.0,0.0,150.0,0.0,0.0,0.0,0.0,1.0,150,7922984.34,7922984.34,0,0.0,0.0,0.0,,0,7922984.34,7922984.34,0.0,0.0,999.9,0.0,Muestra,0.0
